Estrategia;Estrategia_Desc
AA01;Jefe de 탍ea
AA02;Gerente de 탍ea
AA03;Gerente General
AA04;Directorio
BB01;Jefe de 탍ea
BB02;Gerente de 탍ea
BB03;Gerente General
